Ensembl Gene ID,Alpaca Ensembl Gene ID,Human Ensembl Gene ID
ENSPFOG00000019053,,ENSG00000153551
ENSPFOG00000017200,ENSVPAG00000001368,ENSG00000038427
ENSPFOG00000011655,ENSVPAG00000007004,ENSG00000162971
ENSPFOG00000024608,,ENSG00000182885
ENSPFOG00000024608,,ENSG00000182885
ENSPFOG00000003118,ENSVPAG00000004880,ENSG00000144736
ENSPFOG00000017659,ENSVPAG00000012481,ENSG00000157456
ENSPFOG00000019890,,
ENSPFOG00000022735,ENSVPAG00000009696,ENSG00000118231
ENSPFOG00000022735,ENSVPAG00000009696,ENSG00000182187
ENSPFOG00000022735,ENSVPAG00000009696,ENSG00000168582
ENSPFOG00000022735,ENSVPAG00000009696,ENSG00000163254
ENSPFOG00000022735,ENSVPAG00000009695,ENSG00000118231
ENSPFOG00000022735,ENSVPAG00000009695,ENSG00000182187
ENSPFOG00000022735,ENSVPAG00000009695,ENSG00000168582
ENSPFOG00000022735,ENSVPAG00000009695,ENSG00000163254
ENSPFOG00000022735,ENSVPAG00000009697,ENSG00000118231
ENSPFOG00000022735,ENSVPAG00000009697,ENSG00000182187
ENSPFOG00000022735,ENSVPAG00000009697,ENSG00000168582
ENSPFOG00000022735,ENSVPAG00000009697,ENSG00000163254
ENSPFOG00000022735,ENSVPAG00000009698,ENSG00000118231
ENSPFOG00000022735,ENSVPAG00000009698,ENSG00000182187
ENSPFOG00000022735,ENSVPAG00000009698,ENSG00000168582
ENSPFOG00000022735,ENSVPAG00000009698,ENSG00000163254
ENSPFOG00000000707,,ENSG00000112679
ENSPFOG00000015996,ENSVPAG00000008199,ENSG00000120451
ENSPFOG00000015996,ENSVPAG00000008199,ENSG00000120451
ENSPFOG00000006594,,
ENSPFOG00000009752,,
ENSPFOG00000022780,,
ENSPFOG00000014034,,
ENSPFOG00000002259,ENSVPAG00000009008,ENSG00000163755
ENSPFOG00000002259,ENSVPAG00000009008,ENSG00000163755
ENSPFOG00000002259,ENSVPAG00000009008,ENSG00000163755
ENSPFOG00000002259,ENSVPAG00000009008,ENSG00000163755
ENSPFOG00000002259,ENSVPAG00000009008,ENSG00000163755
ENSPFOG00000001790,ENSVPAG00000004525,ENSG00000187730
ENSPFOG00000001790,ENSVPAG00000004525,ENSG00000187730
ENSPFOG00000013809,,
ENSPFOG00000023751,ENSVPAG00000010735,ENSG00000112893
ENSPFOG00000004917,,ENSG00000089351
ENSPFOG00000009231,ENSVPAG00000006931,ENSG00000071205
ENSPFOG00000000917,,
ENSPFOG00000000917,,
ENSPFOG00000007279,ENSVPAG00000005510,ENSG00000151892
ENSPFOG00000022781,,
ENSPFOG00000004667,ENSVPAG00000009496,ENSG00000204217
ENSPFOG00000004667,ENSVPAG00000009496,ENSG00000204217
ENSPFOG00000001329,,
ENSPFOG00000000994,ENSVPAG00000005812,ENSG00000164946
ENSPFOG00000023993,,
ENSPFOG00000014386,ENSVPAG00000007629,ENSG00000160767
ENSPFOG00000014386,ENSVPAG00000007629,ENSG00000160767
ENSPFOG00000008348,,ENSG00000088827
ENSPFOG00000003222,ENSVPAG00000004882,ENSG00000172986
ENSPFOG00000006563,,
ENSPFOG00000006563,,
ENSPFOG00000001088,,
ENSPFOG00000002424,ENSVPAG00000002663,ENSG00000204351
ENSPFOG00000023566,ENSVPAG00000009696,ENSG00000118231
ENSPFOG00000023566,ENSVPAG00000009696,ENSG00000182187
ENSPFOG00000023566,ENSVPAG00000009696,ENSG00000168582
ENSPFOG00000023566,ENSVPAG00000009696,ENSG00000163254
ENSPFOG00000023566,ENSVPAG00000009695,ENSG00000118231
ENSPFOG00000023566,ENSVPAG00000009695,ENSG00000182187
ENSPFOG00000023566,ENSVPAG00000009695,ENSG00000168582
ENSPFOG00000023566,ENSVPAG00000009695,ENSG00000163254
ENSPFOG00000023566,ENSVPAG00000009697,ENSG00000118231
ENSPFOG00000023566,ENSVPAG00000009697,ENSG00000182187
ENSPFOG00000023566,ENSVPAG00000009697,ENSG00000168582
ENSPFOG00000023566,ENSVPAG00000009697,ENSG00000163254
ENSPFOG00000023566,ENSVPAG00000009698,ENSG00000118231
ENSPFOG00000023566,ENSVPAG00000009698,ENSG00000182187
ENSPFOG00000023566,ENSVPAG00000009698,ENSG00000168582
ENSPFOG00000023566,ENSVPAG00000009698,ENSG00000163254
ENSPFOG00000016218,ENSVPAG00000002465,ENSG00000048545
ENSPFOG00000024846,ENSVPAG00000002688,ENSG00000104081
ENSPFOG00000000989,,ENSG00000154864
ENSPFOG00000007644,ENSVPAG00000008290,ENSG00000158258
ENSPFOG00000001438,,
ENSPFOG00000007207,ENSVPAG00000001346,ENSG00000023228
ENSPFOG00000017670,ENSVPAG00000009914,ENSG00000138160
ENSPFOG00000018044,,ENSG00000090932
ENSPFOG00000001786,ENSVPAG00000002558,ENSG00000119698
ENSPFOG00000022894,,ENSG00000243238
ENSPFOG00000022894,,ENSG00000211599
ENSPFOG00000022894,,ENSG00000273962
ENSPFOG00000022894,,ENSG00000242534
ENSPFOG00000022894,,ENSG00000211598
ENSPFOG00000022894,,ENSG00000251039
ENSPFOG00000022894,,ENSG00000244116
ENSPFOG00000022894,,ENSG00000239571
ENSPFOG00000022894,,ENSG00000241566
ENSPFOG00000022894,,ENSG00000211611
ENSPFOG00000022894,,ENSG00000225523
ENSPFOG00000022894,,ENSG00000243264
ENSPFOG00000022894,,ENSG00000211626
ENSPFOG00000022894,,ENSG00000241294
ENSPFOG00000016219,,ENSG00000103495
ENSPFOG00000016219,,ENSG00000103495
ENSPFOG00000016219,,ENSG00000103495
ENSPFOG00000022967,,
ENSPFOG00000005828,,ENSG00000172367
ENSPFOG00000005828,,ENSG00000172367
ENSPFOG00000005159,,ENSG00000105711
ENSPFOG00000024521,ENSVPAG00000012231,ENSG00000081148
ENSPFOG00000024521,ENSVPAG00000012231,ENSG00000081148
ENSPFOG00000000811,ENSVPAG00000008813,ENSG00000121871
ENSPFOG00000000811,ENSVPAG00000008813,ENSG00000121871
ENSPFOG00000007629,ENSVPAG00000004849,ENSG00000110002
ENSPFOG00000022636,ENSVPAG00000009395,ENSG00000186439
ENSPFOG00000013817,,
ENSPFOG00000008220,ENSVPAG00000008443,ENSG00000106546
ENSPFOG00000022203,,
ENSPFOG00000001845,,
ENSPFOG00000005901,,ENSG00000108774
ENSPFOG00000005901,,ENSG00000267261
ENSPFOG00000010721,ENSVPAG00000001509,ENSG00000064309
ENSPFOG00000003125,,ENSG00000176422
ENSPFOG00000018046,ENSVPAG00000000474,ENSG00000158023
ENSPFOG00000000031,,ENSG00000138080
ENSPFOG00000008747,,
ENSPFOG00000018951,,ENSG00000134905
ENSPFOG00000002981,ENSVPAG00000008692,ENSG00000175376
ENSPFOG00000012525,ENSVPAG00000004100,ENSG00000214960
ENSPFOG00000012525,ENSVPAG00000004100,ENSG00000214960
ENSPFOG00000012525,ENSVPAG00000004100,ENSG00000214960
ENSPFOG00000023461,ENSVPAG00000009696,ENSG00000118231
ENSPFOG00000023461,ENSVPAG00000009696,ENSG00000182187
ENSPFOG00000023461,ENSVPAG00000009696,ENSG00000168582
ENSPFOG00000023461,ENSVPAG00000009696,ENSG00000163254
ENSPFOG00000023461,ENSVPAG00000009695,ENSG00000118231
ENSPFOG00000023461,ENSVPAG00000009695,ENSG00000182187
ENSPFOG00000023461,ENSVPAG00000009695,ENSG00000168582
ENSPFOG00000023461,ENSVPAG00000009695,ENSG00000163254
ENSPFOG00000023461,ENSVPAG00000009697,ENSG00000118231
ENSPFOG00000023461,ENSVPAG00000009697,ENSG00000182187
ENSPFOG00000023461,ENSVPAG00000009697,ENSG00000168582
ENSPFOG00000023461,ENSVPAG00000009697,ENSG00000163254
ENSPFOG00000023461,ENSVPAG00000009698,ENSG00000118231
ENSPFOG00000023461,ENSVPAG00000009698,ENSG00000182187
ENSPFOG00000023461,ENSVPAG00000009698,ENSG00000168582
ENSPFOG00000023461,ENSVPAG00000009698,ENSG00000163254
ENSPFOG00000020172,,ENSG00000178567
ENSPFOG00000017242,ENSVPAG00000001366,ENSG00000152422
ENSPFOG00000001023,ENSVPAG00000005508,ENSG00000107518
ENSPFOG00000000738,ENSVPAG00000009755,ENSG00000137274
ENSPFOG00000003300,ENSVPAG00000004884,ENSG00000163605
ENSPFOG00000006609,ENSVPAG00000010631,ENSG00000101017
ENSPFOG00000017738,ENSVPAG00000007613,ENSG00000122877
ENSPFOG00000005527,ENSVPAG00000006836,ENSG00000131373
ENSPFOG00000005726,ENSVPAG00000009523,ENSG00000170515
ENSPFOG00000005726,ENSVPAG00000009523,ENSG00000170515
ENSPFOG00000005726,ENSVPAG00000009523,ENSG00000257411
ENSPFOG00000005726,ENSVPAG00000009523,ENSG00000257411
ENSPFOG00000005726,ENSVPAG00000008360,ENSG00000170515
ENSPFOG00000005726,ENSVPAG00000008360,ENSG00000170515
ENSPFOG00000005726,ENSVPAG00000008360,ENSG00000257411
ENSPFOG00000005726,ENSVPAG00000008360,ENSG00000257411
ENSPFOG00000015989,ENSVPAG00000007335,ENSG00000182183
ENSPFOG00000016238,,
ENSPFOG00000003741,,ENSG00000197965
ENSPFOG00000003741,,ENSG00000197965
ENSPFOG00000003741,,ENSG00000197965
ENSPFOG00000003741,,ENSG00000197965
ENSPFOG00000003019,,ENSG00000204356
ENSPFOG00000004372,ENSVPAG00000008606,ENSG00000137776
ENSPFOG00000004372,ENSVPAG00000008606,ENSG00000137776
ENSPFOG00000022877,,ENSG00000188897
ENSPFOG00000002149,,ENSG00000140093
ENSPFOG00000018879,,
ENSPFOG00000008962,,
ENSPFOG00000008962,,
ENSPFOG00000018063,,ENSG00000167641
ENSPFOG00000022061,ENSVPAG00000009582,ENSG00000102096
ENSPFOG00000001417,,ENSG00000165795
ENSPFOG00000013820,,
ENSPFOG00000006638,,
ENSPFOG00000016227,ENSVPAG00000008928,ENSG00000164815
ENSPFOG00000023606,,
ENSPFOG00000023606,,
ENSPFOG00000024776,,ENSG00000116016
ENSPFOG00000024776,,ENSG00000116016
ENSPFOG00000000817,ENSVPAG00000002239,ENSG00000251349
ENSPFOG00000000817,ENSVPAG00000002239,ENSG00000251349
ENSPFOG00000000817,ENSVPAG00000002239,ENSG00000241697
ENSPFOG00000000817,ENSVPAG00000002239,ENSG00000241697
ENSPFOG00000014418,ENSVPAG00000001663,ENSG00000143545
ENSPFOG00000024763,,ENSG00000105483
ENSPFOG00000010685,,
ENSPFOG00000004428,ENSVPAG00000003934,ENSG00000182747
ENSPFOG00000001864,,ENSG00000196581
ENSPFOG00000018311,ENSVPAG00000009696,ENSG00000118231
ENSPFOG00000018311,ENSVPAG00000009696,ENSG00000182187
ENSPFOG00000018311,ENSVPAG00000009696,ENSG00000168582
ENSPFOG00000018311,ENSVPAG00000009696,ENSG00000163254
ENSPFOG00000018311,ENSVPAG00000009695,ENSG00000118231
ENSPFOG00000018311,ENSVPAG00000009695,ENSG00000182187
ENSPFOG00000018311,ENSVPAG00000009695,ENSG00000168582
ENSPFOG00000018311,ENSVPAG00000009695,ENSG00000163254
ENSPFOG00000018311,ENSVPAG00000009697,ENSG00000118231
ENSPFOG00000018311,ENSVPAG00000009697,ENSG00000182187
ENSPFOG00000018311,ENSVPAG00000009697,ENSG00000168582
ENSPFOG00000018311,ENSVPAG00000009697,ENSG00000163254
ENSPFOG00000018311,ENSVPAG00000009698,ENSG00000118231
ENSPFOG00000018311,ENSVPAG00000009698,ENSG00000182187
ENSPFOG00000018311,ENSVPAG00000009698,ENSG00000168582
ENSPFOG00000018311,ENSVPAG00000009698,ENSG00000163254
ENSPFOG00000003291,,ENSG00000115641
ENSPFOG00000021925,,
ENSPFOG00000017741,,
ENSPFOG00000024435,,
ENSPFOG00000002064,,
ENSPFOG00000002064,,
ENSPFOG00000002064,,
ENSPFOG00000012561,ENSVPAG00000004095,ENSG00000171243
ENSPFOG00000001473,,ENSG00000134265
ENSPFOG00000014043,,
ENSPFOG00000014210,,ENSG00000131686
ENSPFOG00000014210,,ENSG00000131686
ENSPFOG00000016517,ENSVPAG00000007190,
ENSPFOG00000016266,,ENSG00000187416
ENSPFOG00000006816,,ENSG00000102890
ENSPFOG00000018918,ENSVPAG00000011541,ENSG00000138386
ENSPFOG00000000835,ENSVPAG00000006784,ENSG00000137266
ENSPFOG00000001110,,ENSG00000106537
ENSPFOG00000013832,ENSVPAG00000002644,ENSG00000106772
ENSPFOG00000005890,,ENSG00000160703
ENSPFOG00000003120,,ENSG00000204366
ENSPFOG00000000890,ENSVPAG00000002240,ENSG00000170681
ENSPFOG00000016086,ENSVPAG00000012446,ENSG00000104951
ENSPFOG00000014443,,
ENSPFOG00000011319,ENSVPAG00000005224,ENSG00000132549
ENSPFOG00000011319,ENSVPAG00000005224,ENSG00000132549
ENSPFOG00000001190,ENSVPAG00000003215,ENSG00000023191
ENSPFOG00000001190,ENSVPAG00000012459,ENSG00000023191
ENSPFOG00000001190,ENSVPAG00000002795,ENSG00000023191
ENSPFOG00000001190,ENSVPAG00000004941,ENSG00000023191
ENSPFOG00000010710,,ENSG00000164897
ENSPFOG00000008997,ENSVPAG00000002505,ENSG00000162129
ENSPFOG00000018962,ENSVPAG00000000482,ENSG00000198171
ENSPFOG00000018529,,
ENSPFOG00000024602,ENSVPAG00000005341,ENSG00000196535
ENSPFOG00000016524,ENSVPAG00000002941,ENSG00000198860
ENSPFOG00000000922,ENSVPAG00000006865,ENSG00000044459
ENSPFOG00000000922,ENSVPAG00000006865,ENSG00000044459
ENSPFOG00000018086,,
ENSPFOG00000008559,ENSVPAG00000008200,ENSG00000163864
ENSPFOG00000008559,ENSVPAG00000008200,ENSG00000163864
ENSPFOG00000008559,ENSVPAG00000008200,ENSG00000163864
ENSPFOG00000007286,,ENSG00000100055
ENSPFOG00000001586,ENSVPAG00000003639,ENSG00000104808
ENSPFOG00000003152,,ENSG00000110881
ENSPFOG00000003152,,ENSG00000110881
ENSPFOG00000003152,,ENSG00000110881
ENSPFOG00000001706,ENSVPAG00000004001,ENSG00000169129
ENSPFOG00000002162,ENSVPAG00000012536,ENSG00000153814
ENSPFOG00000000913,,ENSG00000180822
ENSPFOG00000020212,,
ENSPFOG00000020212,,
ENSPFOG00000016147,ENSVPAG00000000056,ENSG00000150779
ENSPFOG00000000853,ENSVPAG00000003225,ENSG00000155363
ENSPFOG00000000853,ENSVPAG00000003225,ENSG00000155363
ENSPFOG00000002199,,ENSG00000126215
ENSPFOG00000007445,,ENSG00000115446
ENSPFOG00000021877,,
ENSPFOG00000005898,ENSVPAG00000009522,ENSG00000065361
ENSPFOG00000006018,ENSVPAG00000010681,ENSG00000115468
ENSPFOG00000023354,,
ENSPFOG00000004435,ENSVPAG00000007121,ENSG00000119326
ENSPFOG00000004435,ENSVPAG00000007121,ENSG00000119326
ENSPFOG00000022403,ENSVPAG00000001012,ENSG00000118412
ENSPFOG00000022403,ENSVPAG00000001012,ENSG00000118412
ENSPFOG00000009246,,ENSG00000214530
ENSPFOG00000005513,ENSVPAG00000010501,ENSG00000111912
ENSPFOG00000005513,ENSVPAG00000010501,ENSG00000111912
ENSPFOG00000020774,,ENSG00000278195
ENSPFOG00000023262,ENSVPAG00000011115,ENSG00000116667
ENSPFOG00000014457,,
ENSPFOG00000024380,ENSVPAG00000011701,ENSG00000174527
ENSPFOG00000024380,ENSVPAG00000011701,ENSG00000174527
ENSPFOG00000010183,ENSVPAG00000011054,ENSG00000167258
ENSPFOG00000010183,ENSVPAG00000011054,ENSG00000167258
ENSPFOG00000010183,ENSVPAG00000011054,ENSG00000167258
ENSPFOG00000001583,ENSVPAG00000007337,ENSG00000277058
ENSPFOG00000001583,ENSVPAG00000007337,ENSG00000092199
ENSPFOG00000001583,ENSVPAG00000007337,ENSG00000179172
ENSPFOG00000001583,ENSVPAG00000007337,ENSG00000179412
ENSPFOG00000001583,ENSVPAG00000007337,ENSG00000275774
ENSPFOG00000001117,,
ENSPFOG00000011627,,ENSG00000112787
ENSPFOG00000011627,,ENSG00000112787
ENSPFOG00000023452,,
ENSPFOG00000012491,,ENSG00000261210
ENSPFOG00000012491,,ENSG00000261210
ENSPFOG00000005848,,ENSG00000100365
ENSPFOG00000005848,,ENSG00000100365
ENSPFOG00000016286,,ENSG00000149926
ENSPFOG00000022559,,ENSG00000152683
ENSPFOG00000005617,ENSVPAG00000000118,ENSG00000113648
ENSPFOG00000005264,,
ENSPFOG00000023753,,ENSG00000189233
ENSPFOG00000008410,,ENSG00000173821
ENSPFOG00000001221,,ENSG00000204463
ENSPFOG00000006650,,
ENSPFOG00000006650,,
ENSPFOG00000001579,,ENSG00000206418
ENSPFOG00000016278,ENSVPAG00000008929,ENSG00000005483
ENSPFOG00000003333,,
ENSPFOG00000007473,,
ENSPFOG00000001977,,ENSG00000131697
ENSPFOG00000013099,ENSVPAG00000008511,ENSG00000180263
ENSPFOG00000021909,,
ENSPFOG00000007727,,ENSG00000068650
ENSPFOG00000007727,,ENSG00000068650
ENSPFOG00000022601,,
ENSPFOG00000022601,,
ENSPFOG00000007173,,ENSG00000125122
ENSPFOG00000010101,ENSVPAG00000005291,ENSG00000089048
ENSPFOG00000010101,ENSVPAG00000005291,ENSG00000089048
ENSPFOG00000010101,ENSVPAG00000005291,ENSG00000089048
ENSPFOG00000018071,,ENSG00000130201
ENSPFOG00000014068,ENSVPAG00000009394,ENSG00000146352
ENSPFOG00000020973,,
ENSPFOG00000020973,,
ENSPFOG00000016526,,ENSG00000265808
ENSPFOG00000024271,,ENSG00000165731
ENSPFOG00000024271,,ENSG00000165731
ENSPFOG00000005584,ENSVPAG00000012423,ENSG00000129173
ENSPFOG00000016150,,ENSG00000255292
ENSPFOG00000016150,,ENSG00000204370
ENSPFOG00000009431,ENSVPAG00000001967,ENSG00000103489
ENSPFOG00000006054,ENSVPAG00000010684,ENSG00000115474
ENSPFOG00000023084,,
ENSPFOG00000008638,,
ENSPFOG00000022658,,
ENSPFOG00000012564,ENSVPAG00000008437,ENSG00000106524
ENSPFOG00000007516,ENSVPAG00000000359,ENSG00000100353
ENSPFOG00000001668,,
ENSPFOG00000012273,,ENSG00000164920
ENSPFOG00000023267,,
ENSPFOG00000001899,ENSVPAG00000011242,ENSG00000134987
ENSPFOG00000014468,,
ENSPFOG00000003294,ENSVPAG00000007264,ENSG00000156042
ENSPFOG00000023305,ENSVPAG00000004135,ENSG00000133657
ENSPFOG00000023305,ENSVPAG00000004135,ENSG00000133657
ENSPFOG00000016000,,ENSG00000162383
ENSPFOG00000000247,,ENSG00000184584
ENSPFOG00000001469,,ENSG00000204444
ENSPFOG00000010368,ENSVPAG00000010574,ENSG00000108306
ENSPFOG00000007848,ENSVPAG00000004849,ENSG00000110002
ENSPFOG00000007848,ENSVPAG00000004849,ENSG00000110002
ENSPFOG00000007848,ENSVPAG00000004849,ENSG00000110002
ENSPFOG00000017753,,
ENSPFOG00000001031,ENSVPAG00000005356,ENSG00000134245
ENSPFOG00000004813,ENSVPAG00000008605,ENSG00000128923
ENSPFOG00000004729,,ENSG00000129244
ENSPFOG00000004729,,ENSG00000129244
ENSPFOG00000004729,,ENSG00000129244
ENSPFOG00000004729,,ENSG00000129244
ENSPFOG00000018936,ENSVPAG00000001042,ENSG00000151690
ENSPFOG00000018936,ENSVPAG00000001042,ENSG00000151690
ENSPFOG00000018936,ENSVPAG00000001042,ENSG00000151690
ENSPFOG00000022573,,
ENSPFOG00000010864,ENSVPAG00000003296,ENSG00000150938
ENSPFOG00000006492,,
ENSPFOG00000006492,,
ENSPFOG00000008756,,ENSG00000182968
ENSPFOG00000016167,,
ENSPFOG00000000252,,
ENSPFOG00000004625,ENSVPAG00000010799,ENSG00000115353
ENSPFOG00000004625,ENSVPAG00000010799,ENSG00000115353
ENSPFOG00000005385,ENSVPAG00000007677,ENSG00000124831
ENSPFOG00000022127,,
ENSPFOG00000022127,,
ENSPFOG00000015178,ENSVPAG00000009692,ENSG00000163399
ENSPFOG00000015178,ENSVPAG00000009692,ENSG00000163399
ENSPFOG00000016333,ENSVPAG00000001659,ENSG00000090266
ENSPFOG00000016333,ENSVPAG00000001659,ENSG00000090266
ENSPFOG00000008869,ENSVPAG00000009682,ENSG00000169826
ENSPFOG00000008666,,
ENSPFOG00000008666,,
ENSPFOG00000017761,ENSVPAG00000006574,ENSG00000143970
ENSPFOG00000017761,ENSVPAG00000006574,ENSG00000143970
ENSPFOG00000017761,ENSVPAG00000006574,ENSG00000143970
ENSPFOG00000018967,ENSVPAG00000003883,ENSG00000163666
ENSPFOG00000018967,ENSVPAG00000003883,ENSG00000163666
ENSPFOG00000009644,,
ENSPFOG00000009644,,
ENSPFOG00000009775,,ENSG00000134419
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000257207
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000257207
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000169756
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000169756
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000256671
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000256671
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000256977
ENSPFOG00000007252,ENSVPAG00000006675,ENSG00000256977
ENSPFOG00000006047,,ENSG00000100311
ENSPFOG00000023878,,
ENSPFOG00000002029,ENSVPAG00000009869,ENSG00000180801
ENSPFOG00000002029,ENSVPAG00000009869,ENSG00000180801
ENSPFOG00000013149,ENSVPAG00000008512,ENSG00000028203
ENSPFOG00000000077,,ENSG00000003137
ENSPFOG00000000970,ENSVPAG00000003535,ENSG00000114446
ENSPFOG00000024683,,
ENSPFOG00000001665,ENSVPAG00000003639,ENSG00000104808
ENSPFOG00000001665,ENSVPAG00000003639,ENSG00000104808
ENSPFOG00000003046,ENSVPAG00000006415,ENSG00000174080
ENSPFOG00000000953,,ENSG00000160883
ENSPFOG00000007856,,
ENSPFOG00000023201,,
ENSPFOG00000003160,,ENSG00000204371
ENSPFOG00000001126,,ENSG00000204315
ENSPFOG00000012549,,ENSG00000261210
ENSPFOG00000012549,,ENSG00000261210
ENSPFOG00000005680,,
ENSPFOG00000005680,,
ENSPFOG00000013538,ENSVPAG00000011699,ENSG00000139445
ENSPFOG00000010911,ENSVPAG00000008087,ENSG00000170325
ENSPFOG00000005757,ENSVPAG00000001167,ENSG00000170271
ENSPFOG00000005757,ENSVPAG00000001167,ENSG00000170271
ENSPFOG00000002217,ENSVPAG00000006733,ENSG00000164209
ENSPFOG00000007500,,
ENSPFOG00000012643,,
ENSPFOG00000009141,,ENSG00000184916
ENSPFOG00000018183,ENSVPAG00000009994,ENSG00000122507
ENSPFOG00000016529,,ENSG00000177971
ENSPFOG00000011768,ENSVPAG00000007677,ENSG00000124831
ENSPFOG00000011768,ENSVPAG00000007677,ENSG00000124831
ENSPFOG00000011768,ENSVPAG00000007677,ENSG00000124831
ENSPFOG00000011768,ENSVPAG00000007677,ENSG00000124831
ENSPFOG00000003233,ENSVPAG00000005559,ENSG00000138031
ENSPFOG00000003233,ENSVPAG00000005559,ENSG00000138031
ENSPFOG00000024332,,
ENSPFOG00000024652,,ENSG00000180644
ENSPFOG00000001490,,ENSG00000226979
ENSPFOG00000001490,,ENSG00000232810
ENSPFOG00000003576,ENSVPAG00000007966,ENSG00000149483
ENSPFOG00000023062,ENSVPAG00000000713,ENSG00000145014
ENSPFOG00000005782,,ENSG00000115648
ENSPFOG00000008784,,ENSG00000102606
ENSPFOG00000000269,ENSVPAG00000006322,ENSG00000112983
ENSPFOG00000018098,ENSVPAG00000007031,ENSG00000111358
ENSPFOG00000018204,,
ENSPFOG00000021948,ENSVPAG00000003639,ENSG00000104808
ENSPFOG00000011780,ENSVPAG00000006442,ENSG00000182870
ENSPFOG00000009620,ENSVPAG00000006935,ENSG00000151623
ENSPFOG00000009620,ENSVPAG00000006935,ENSG00000151623
ENSPFOG00000002262,,ENSG00000130477
ENSPFOG00000002262,,ENSG00000130477
ENSPFOG00000023732,,
ENSPFOG00000023732,,
ENSPFOG00000001148,ENSVPAG00000010010,ENSG00000147155
ENSPFOG00000021866,,ENSG00000100242
ENSPFOG00000001662,,
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000273777
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000267881
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000007306
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000213892
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000105352
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000221878
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000124467
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000204941
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000242221
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000079385
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000213822
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000243137
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000086548
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000183668
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000231924
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000221826
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000170956
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000007129
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000124469
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000105388
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000170848
ENSPFOG00000021791,ENSVPAG00000004916,ENSG00000243130
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000273777
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000267881
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000007306
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000213892
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000105352
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000221878
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000124467
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000204941
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000242221
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000079385
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000213822
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000243137
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000086548
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000183668
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000231924
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000221826
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000170956
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000007129
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000124469
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000105388
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000170848
ENSPFOG00000021791,ENSVPAG00000011975,ENSG00000243130
ENSPFOG00000001916,,ENSG00000165816
ENSPFOG00000001916,,ENSG00000165816
ENSPFOG00000014129,ENSVPAG00000009393,ENSG00000172594
ENSPFOG00000013223,ENSVPAG00000008709,ENSG00000111142
ENSPFOG00000002195,,ENSG00000169598
ENSPFOG00000023629,ENSVPAG00000012422,ENSG00000129170
ENSPFOG00000001105,ENSVPAG00000010486,ENSG00000165071
ENSPFOG00000023721,,
ENSPFOG00000023721,,
ENSPFOG00000014263,ENSVPAG00000005301,ENSG00000074800
ENSPFOG00000024653,,
ENSPFOG00000009155,,ENSG00000125398
ENSPFOG00000009155,,ENSG00000125398
ENSPFOG00000013236,,
ENSPFOG00000000034,ENSVPAG00000003373,ENSG00000198522
